number,name,lng,lat,region
5997,The Electrical Training Company Limited,174.8492952,-36.9112985,Auckland Region
6004,Unitec New Zealand,174.7078011,-36.8807404,Auckland Region
6006,Ara Institute of Canterbury,172.6434212,-43.5380904,Canterbury Region
6007,Eastern Institute of Technology,176.8408412,-39.5458816,Hawke's Bay Region
6008,Wellington Institute of Technology,174.8815139,-41.2270216,Wellington Region
6009,Universal College of Learning,175.6123577,-40.3524785,Manawatu-Wanganui Region
6010,Manukau Institute of Technology,174.871122,-36.960762,Auckland Region
6011,Nelson Marlborough Inst of Technology,173.2886908,-41.2745999,Nelson Region
6012,North Tec,174.304154,-35.7405336,Northland Region
6013,Otago Polytechnic,170.5182623,-45.8659451,Otago Region
6014,Whitireia Community Polytechnic,174.8400034,-41.1285174,Wellington Region
6015,Southern Institute of Technology,168.3557108,-46.4139579,Southland Region
6017,Western Institute of Technology Taranaki,174.0889498,-39.0623438,Taranaki Region
6019,Waikato Institute of Technology,175.28334,-37.7939941,Waikato Region
6022,Open Polytechnic,174.9316524,-41.218334,Wellington Region
6024,Tai Poutini Polytechnic,171.2109272,-42.4514675,West Coast Region
6025,Toi Ohomai Institute of Technology,176.1506348,-37.7336438,Bay of Plenty Region
7001,University of Auckland,174.7692241,-36.8508324,Auckland Region
7002,University of Waikato,175.3177295,-37.7914163,Waikato Region
7003,Massey University,175.5856931,-40.4236298,Manawatu-Wanganui Region
7004,Victoria University of Wellington,174.7673119,-41.2893345,Wellington Region
7005,University of Canterbury,172.5794753,-43.520804,Canterbury Region
7006,Lincoln University,172.4636153,-43.6427058,Canterbury Region
7007,University of Otago,170.5154412,-45.8644965,Otago Region
7008,Auckland University of Technology,174.7673185,-36.8532321,Auckland Region
7098,MITA Consulting Ltd,174.6318136,-36.8993103,Auckland Region
7100,Te Rau Matatini Limited,174.7778183,-41.2827734,Wellington Region
7123,North Shore Helicopter Training Limited,174.655931,-36.6555283,Auckland Region
7127,Kauri Academy,174.7660265,-36.8565631,Auckland Region
7128,Quality Consultants New Zealand Ltd,175.2315712,-37.7400537,Waikato Region
7132,Medical Research Institute of New Zealand,174.77911,-41.3079886,Wellington Region
7133,Spear Hospitality/Career Cafe/Artisan Consulting,174.3203396,-35.7238186,Northland Region
7135,C4 Group Limited,174.8961122,-36.9605564,Auckland Region
7136,NZ Training Assessments,174.7252251,-36.9025378,Auckland Region
7140,New Zealand Aviation,175.7367219,-37.7358946,Waikato Region
7143,North Shore Aero Club,174.6538687,-36.6545605,Auckland Region
7152,Pacific Medicare Limited,176.1919884,-37.6439813,Bay of Plenty Region
7153,Professional Resuscitation Services Ltd,174.720907,-36.782031,Auckland Region
7154,Bay Learning Academy Limited,176.225756,-37.673732,Bay of Plenty Region
7157,First Aid NZ Limited,174.7439765,-36.7955779,Auckland Region
7158,CNSST Education Institute,174.8532644,-36.8987313,Auckland Region
7170,Real World Education ,175.6082145,-40.3523065,Manawatu-Wanganui Region
7177,UCIC,172.5847619,-43.5278681,Canterbury Region
7180,Food Safe Limited,174.7522325,-36.8596397,Auckland Region
7184,Allied Trades Institute Ltd,172.6044465,-43.4883983,Canterbury Region
7187,Mainland Aviation College,170.094602,-46.023712,Otago Region
7196,Freedom Institute of Higher Education,175.2739163,-37.7806077,Waikato Region
7197,Ngatiwai Education,174.329501,-35.7340791,Northland Region
7198,Manaaki Ora Trust,176.2540823,-38.1384511,Bay of Plenty Region
7199,Workplace First Aid Training Ltd,170.5264016,-45.8850666,Otago Region
7210,AsureQuality Limited,174.839729,-36.9212183,Auckland Region
7245,New Zealand Security Association,174.772995,-36.7853634,Auckland Region
7252,AMS Group Training,175.1587276,-37.5648721,Waikato Region
7254,NZ Safety Worksafe Training,174.8045629,-36.8999537,Auckland Region
7256,Southern Wings,168.3252555,-46.4151584,Southland Region
7264,New Zealand Institute of Technical Training Limited,174.8766175,-36.9903547,Auckland Region
7265,Fairview Educational Services Limited,175.248798,-37.7612336,Waikato Region
7270,Avon City Ford Training,172.5520074,-43.5388247,Canterbury Region
7282,New Zealand College of Chinese Medicine Limited,174.799228,-36.8947876,Auckland Region
7302,Hospitality Training Company Limited,174.9803732,-40.9121369,Wellington Region
7303,Learning Post Limited,174.6323415,-36.8827404,Auckland Region
7314,NZ Leather & Shoe Research Association,175.6090401,-40.3784183,Manawatu-Wanganui Region
7318,Sues Unlimited,176.153096,-37.7128199,Bay of Plenty Region
7321,St John,174.7745457,-41.283119,Wellington Region
7324,Impac Services Limited,176.8829981,-39.5032394,Hawke's Bay Region
7326,New Zealand School of Radio,176.1669909,-37.6844559,Bay of Plenty Region
7327,Health Audit Training Ltd,174.9051443,-36.9652945,Auckland Region
7352,Wilkinson's English Language School Limited,172.609942,-43.5444129,Canterbury Region
