Provider code,Provider name,Distance to University of Auckland,Distance to AUT,Distance to University of Waikato,Distance to Massey University,Distance to Victoria University of Wellington,Distance to University of Canterbury,Distance to Lincoln University,Distance to University of Otago,2017_TA,2017_Region,2017_urban_rural,2017_authority,2017_school_type,2017_school_gender,2017_decile,Decile,Decile_bands,Min distance to  Uni,Nearest Uni,Distance to nearest uni,Longitude,Latitude,Size
306,South Westland Area School,"1,206","1,207","1,077",695,565,315,318,631,Westland District,West Coast Region,Rural Area,State,Composite,Co-Educational,5,5,2-Middle,315,Canterbury,Remote,170.55168,-43.142011,26
310,Oxford Area School,"1,094","1,094",964,583,452,58.8,71.4,373,Waimakariri District,Canterbury Region,Minor Urban Area,State,Composite,Co-Educational,7,7,2-Middle,58.8,Canterbury,Bus Range,172.187986,-43.2942,101
362,Waimate High School,"1,284","1,284","1,155",773,642,203,192,157,Waimate District,Canterbury Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,5,5,2-Middle,157,Otago,Remote,171.047272,-44.73745,94
658,Murupara Area School,289,290,164,341,523,958,973,"1,307",Whakatane District,Bay of Plenty Region,Minor Urban Area,State,Composite,Co-Educational,1,1,3-Lower,164,Hamilton,Remote,176.703042,-38.455354,73
1189,Wa Ora Montessori School,647,648,518,136,22.6,458,473,807,Lower Hutt City,Wellington Region,Main Urban Area,State : Integrated,Composite,Co-Educational,8,8,1-Higher,22.6,Wellington,Nearby,174.962094,-41.201665,35
1210,Northern Health School,2,2.3,132,523,704,"1,140","1,155","1,489",Auckland - Waitemata,Auckland Region,Main Urban Area,State,Special School,Co-Educational,1,1,3-Lower,2,Auckland,Nearby,174.769602,-36.860632,130
2384,Te Kura o Kokohuia,449,450,329,81.3,266,702,716,"1,051",Whanganui District,Manawatu-Wanganui Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,81.3,Palmy,Bus Range,175.004318,-39.943697,13
119,Huntly College,94.6,94.9,38.9,430,611,"1,047","1,062","1,396",Waikato District,Waikato Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,38.9,Hamilton,Bus Range,175.15226,-37.562095,173
13,Kamo High School,166,166,295,686,868,"1,303","1,318","1,653",Whangarei District,Northland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,166,Auckland,Remote,174.302812,-35.684393,407
6,Broadwood Area School - Manganuiowae,297,297,426,817,999,"1,435","1,449","1,784",Far North District,Northland Region,Rural Area,State,Composite,Co-Educational,1,1,3-Lower,297,Auckland,Remote,173.39499,-35.261247,32
179,Stratford High School,388,388,267,199,383,819,834,"1,168",Stratford District,Taranaki Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,199,Palmy,Remote,174.29667,-39.339665,316
160,Te Kuiti High School,199,199,77.8,324,506,941,956,"1,290",Waitomo District,Waikato Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,77.8,Hamilton,Bus Range,175.154846,-38.332231,147
